"가구일련번호","시군","입력된가구원수계","가구주와의관계","만나이","1.주택형태","2.점유형태","3.성별","5.가구주와의관계","6.교육정도","6.수학여부","7.혼인상태","8.사회복지우선지원분야","8-1.노인복지우선지원분야","9.노인이느끼는문제","10.노후준비","10-1.노후준비여부1_0","10-1.노후준비여부1_1","10-2.노후준비여부2","11.지역거주기간","11-1.향후거주의향","12.정주의식","13.주택만족도","14-1.소방시설_소화기비치유무","14-2.소방시설_주택화재경보기설치유무","14-1-1.소방시설_법제화인지여부","15.거주지소속감","16.거주지만족도","16-1.거주지불만족이유","17.필요공공시설_0","17.필요공공시설_1","18.이주계획","18-1.이주계획이유","18-2.이주계획지역","19.통근여부","19-1.통근지역위치","19-2.교통수단","19-3.통근시간_시간_통근시간","19-3.통근시간_시간_통근분","20-1.대중교통만족도_1지하철","20-2.대중교통만족도_2기차","20-3.대중교통만족도_3택시","20-4.대중교통만족도_4버스","20-1-1.대중교통만족도_4버스_만족이유_0","20-1-1.대중교통만족도_4버스_만족이유_1","20-1-2.대중교통만족도_4버스_개선사항_0","20-1-2.대중교통만족도_4버스_개선사항_1","21.공연및스포츠관람여부","21.공연및스포츠관람_유형_0","21.공연및스포츠관람_유형_1","21.공연및스포츠관람_유형_2","21.공연및스포츠관람_유형_3","21.공연및스포츠관람_유형_4","21.공연및스포츠관람_유형_5","21.공연및스포츠관람_유형_6","21.공연및스포츠관람_유형_7","21.공연및스포츠관람_음악","21.공연및스포츠관람_연극","21.공연및스포츠관람_무용","21.공연및스포츠관람_영화","21.공연및스포츠관람_박물관","21.공연및스포츠관람_미술관","21.공연및스포츠관람_스포츠","21.공연및스포츠관람_기타","22.평일주말시간_평일","22.평일주말시간_주말","23.주말휴일여가활용여부_0","23.주말휴일여가활용여부_1","23-1.여가생활만족도","23-1-1.여가생활불만족이유","24.관광여행여부","24-1.관광지정보습득경로","24-2.관광지선택이유","24-3.관광지우선추진분야","25.주된소득원_0","25.주된소득원_1","25-1.월평균가구소득","26.개인소득여부","26.개인소득만족도","27.소비생활만족도","28.소득분배정도","29.생활비지출","30.부채유무","30.부채원인","31.자원봉사참여","31-1.자원봉사참여_복지_횟수","31-1.자원봉사참여_복지_시간","31-2.자원봉사참여_환경_횟수","31-2.자원봉사참여_환경_시간","31-3.자원봉사참여_자녀_횟수","31-3.자원봉사참여_자녀_시간","31-4.자원봉사참여_행사_횟수","31-4.자원봉사참여_행사_시간","31-5.자원봉사참여_재해_횟수","31-5.자원봉사참여_재해_시간","31-6.자원봉사참여_봉사_횟수","31-6.자원봉사참여_봉사_시간","32.후원여부","32-1.후원여부_직접후원_횟수","32-2.후원여부_언론기관_횟수","32-3.후원여부_모금단체_횟수","32-4.후원여부_종교단체_횟수","32-5.후원여부_직장_횟수","32-6.후원여부_기타_횟수","33.삶의만족도","34.일의가치","35.대중에대한신뢰","36.사회적계층의식","37.직업선택요인","38.일자리창출","39.평소경제활동","39.평소경제활동_성별","39-1.산업_산업_산업코드","39-2.직업_직업_직업코드","39-3.평소경제활동_지위","39-3.평소경제활동_지위_임금근로자","39-3-1-1.근로여건만족도_하는일","39-3-1-2.근로여건만족도_임금수준","39-3-1-3.근로여건만족도_고용안정성","39-3-1-4.근로여건만족도_근무환경","39-3-1-5.근로여건만족도_근로시간","40.경력단절여성_직장여부","40-1.경력단절여성_그만둔이유_0","40-1.경력단절여성_그만둔이유_1","40-2.경력단절여성_직장복귀여부","40-2.경력단절여성_직장복귀여부_있다","40-2-1.경력단절여성_희망근로형태","40-2-1.경력단절여성_희망근로형태_근로시간유형","41.국민기초생활보장_대상자선정기준","41-1.국민기초생활보장_대상자개선분야","42.기초연금_대상자선정기준","42-1.기초연금_대상자개선분야","43.여성취업_어려운요인_수원","44.생활용품구입경로_수원","44-1.전통시장_이용여부_수원","44-2.전통시장_이용이유_수원","44-3.전통시장_미이용이유_수원","45.도서관_이용횟수_수원","45-1.도서관_이용이유_수원","45-2.도서관_이용만족도_수원","45-3.도서관_미이용이유_수원","46.도서관_활성화대책_수원","47.도시공원_이용여부_수원","47-1.도시공원_이용횟수_수원","47-2.도시공원_이용만족도_수원","47-3.도시공원_이용중불편한점_수원","48.스마트기기_사용용도_수원_0","48.스마트기기_사용용도_수원_1","49.의료기관_이용여부_수원","49-1.의료기관_이용기관_수원","49-2.의료기관_만족도_수원","49-3.의료기관_불만족이유_수원","50.보건소_이용여부_수원","50-1.보건소_만족도_수원","50-2.보건소_불만족이유_수원","50-3.보건소_향후이용서비스_수원","51.학교생활만족도_1교육내용_수원","51.학교생활만족도_2교육방법_수원","51.학교생활만족도_3교우관계_수원","51.학교생활만족도_4교사와관계_수원","51.학교생활만족도_5학교시설_수원","51.학교생활만족도_6학교환경_수원","51.학교생활만족도_7소질적성_수원","51.학교생활만족도_8전공_수원","51.학교생활만족도_9전반적학교생활_수원","52.분야별안전정도_1국가안보_수원","52.분야별안전정도_2자연재해_수원","52.분야별안전정도_3건축물_수원","52.분야별안전정도_4교통사고_수원","52.분야별안전정도_5화재_수원","52.분야별안전정도_6먹거리_수원","52.분야별안전정도_7정보보안_수원","52.분야별안전정도_8신종전염병_수원","52.분야별안전정도_9범죄위험_수원","52.분야별안전정도_10전반적인사회안전_수원","권역별","가구주 가중치","가구원 가중치"
F00014,수원시,4,3,18,,,2,3,4,2,1,3,,3,2,,,,,,3,2,,,,3,3,,2,,,,,2,3,3,1,30,2,3,4,5,,,3,4,1,1,4,,,,,,,2,,,6,,,,,1,2,2,9,3,,2,,,,,,,,,,3,,,,1,14,4,,,,,,,,,,,2,,,,,,,2,2,2,3,4,3,2,1,,,,,,,,,,,,,,,,,4,,4,,4,2,1,4,,3,3,3,,2,1,4,3,3,6,8,1,1,2,,2,,,1,2,3,2,2,3,2,2,1,2,2,2,2,3,3,3,2,3,4,3,1,0,423.2
F00015,수원시,4,1,46,2,1,1,1,4,1,2,2,1,1,1,1,3,,7,1,3,4,1,,2,4,3,,2,3,2,,,1,2,2,1,0,2,3,3,4,,,3,4,1,2,4,7,,,,,,,1,,10,,,5,,2,2,2,6,3,,1,2,4,2,1,,8,1,2,3,3,3,1,1,2,,,,,,,,,,,,,1,,,,12,,,2,1,3,3,2,1,1,,3,8,1,1,2,2,2,2,2,,,,,,,,4,,4,,2,2,1,5,,5,,,3,1,1,3,3,3,1,4,1,1,3,,2,,,3,,,,,,,,,,1,2,2,3,3,4,5,4,3,3,1,278.25,267.2
F00015,수원시,4,2,35,,,2,2,6,1,2,1,,1,1,3,,,,,3,2,,,,3,2,,3,5,,,,3,,,,,6,6,6,6,,,,,1,4,,,,,,,,,,,12,,,,,1,1,2,9,2,,1,1,4,2,,,,2,,2,3,,,,2,,,,,,,,,,,,,2,,,,,,,2,1,3,3,2,1,2,1,,,,,,,,,,2,,,,,,,3,,3,,5,5,1,5,,5,,,2,1,1,3,4,1,4,8,1,1,3,,2,,,1,,,,,,,,,,3,3,3,3,3,4,4,4,4,3,1,0,310.05
F00016,수원시,1,1,30,1,3,2,1,8,1,2,1,,2,1,2,5,,1,5,4,3,2,2,1,2,3,,1,5,1,4,5,1,1,1,0,10,3,3,3,3,,,,,1,4,,,,,,,,,,,10,,,,,2,3,7,9,3,,1,4,4,5,1,,4,1,3,3,3,2,2,,2,,,,,,,,,,,,,2,,,,,,,3,3,3,4,3,3,1,,13,2,1,1,2,3,2,2,1,,,,,,,,3,,3,,4,5,2,,4,5,,,1,2,2,,,,5,8,1,1,3,,2,,,1,,,,,,,,,,2,3,2,3,3,3,3,3,4,3,1,251.11,310.05
F00017,수원시,1,1,28,1,3,1,1,5,1,1,3,,3,1,1,,,20,2,3,2,2,2,2,3,3,,8,,1,1,2,1,2,3,0,20,2,3,3,3,,,,,1,4,,,,,,,,,,,3,,,,,3,3,1,7,3,,1,1,4,2,1,,3,1,4,4,4,2,2,,2,,,,,,,,,,,,,2,,,,,,,3,3,4,5,2,4,1,,13,2,1,1,4,4,2,3,2,,,,,,,,3,,3,,4,4,2,,1,5,,,1,3,2,,,,3,7,1,2,2,,2,,,3,,,,,,,,,,2,2,3,3,3,2,4,2,2,3,1,251.11,367.43
F00018,수원시,1,1,67,1,3,2,1,2,1,3,1,,2,1,1,,,8,1,3,2,2,2,3,2,2,,1,4,2,,,3,,,,,2,6,3,3,,,,,2,,,,,,,,,,,,,,,,,4,4,1,9,4,1,2,,,,4,5,1,1,4,4,4,2,2,,2,,,,,,,,,,,,,2,,,,,,,3,4,3,6,2,4,2,1,,,,,,,,,,,,,,,,,3,,3,,4,4,2,,5,5,,,3,1,1,2,2,4,5,8,1,1,3,,1,3,,2,,,,,,,,,,4,3,3,2,2,2,3,3,3,3,1,251.11,272.98
F00019,수원시,4,1,53,1,3,1,1,4,1,2,3,,2,1,1,,,10,2,3,3,2,2,3,3,3,,5,6,2,,,1,1,8,0,15,3,3,3,4,,,3,4,2,,,,,,,,,,,,,,,,,1,2,1,9,3,,1,4,2,2,1,2,7,1,4,4,5,2,1,2,2,,,,,,,,,,,,,2,,,,,,,4,3,3,6,5,3,1,,17,8,1,1,3,4,3,4,4,,,,,,,,4,,4,,4,2,1,1,,5,,,1,3,2,,,,7,8,1,1,2,,2,,,4,,,,,,,,,,2,2,2,3,3,4,3,4,4,3,1,251.11,305.23
F00019,수원시,4,2,49,,,2,2,4,1,2,3,,2,1,1,,,,,3,3,,,,2,3,,3,5,,,,1,1,6,0,15,3,3,4,4,,,3,4,2,,,,,,,,,,,,,,,,,1,1,1,9,3,,1,4,4,5,,,,1,4,4,5,,,,2,,,,,,,,,,,,,2,,,,,,,4,3,3,5,4,4,1,,9,4,1,1,4,4,3,4,4,,,,,,,,4,,4,,2,4,2,,5,5,,,1,1,1,4,3,3,7,8,1,1,3,,2,,,5,,,,,,,,,,4,3,3,3,3,5,3,4,5,3,1,0,290.93
F00019,수원시,4,3,18,,,2,3,5,2,1,2,8,7,2,,,,,,3,4,,,,2,4,4,1,5,,,,2,1,2,0,15,3,3,3,4,,,3,,1,4,,,,,,,,,,,4,,,,,1,1,1,7,4,1,2,,,,,,,,,,4,,,,2,,,,,,,,,,,,,2,,,,,,,3,3,3,5,2,4,1,,9,4,1,2,3,4,3,3,3,,,,,,,,4,,4,,4,5,2,,5,3,1,3,,1,1,4,2,4,3,8,1,4,3,,2,,,1,2,3,2,3,3,3,3,3,3,3,3,3,4,3,4,4,4,5,4,1,0,423.2
F00019,수원시,4,3,21,,,1,3,5,4,1,5,,4,1,,,2,,,3,3,,,,2,4,5,5,8,,,,1,1,5,0,15,2,3,3,3,,,,,1,4,,,,,,,,,,,3,,,,,2,2,7,9,4,1,2,,,,,,,1,4,4,4,,,,2,,,,,,,,,,,,,2,,,,,,,3,3,3,6,5,3,1,,7,5,1,2,4,4,3,3,3,,,,,,,,3,,3,,5,5,2,,4,5,,,2,1,1,5,3,3,3,8,1,1,3,,2,,,4,,,,,,,,,,3,3,3,3,2,4,2,3,4,3,1,0,367.43
F00020,수원시,1,1,23,1,2,1,1,6,2,1,3,,1,1,,,2,3,1,3,1,2,2,3,3,2,,1,4,2,,,2,1,7,0,10,2,2,3,3,,,,,1,4,,,,,,,,,,,2,,,,,3,3,7,9,3,,2,,,,1,7,1,1,3,3,5,1,2,,1,,,,,,,,,3,6,,,2,,,,,,,1,2,2,4,4,2,1,,16,2,3,,,,,,,,,,,,,,3,,4,,5,5,2,,4,5,,,3,4,1,3,2,4,6,8,1,1,1,,2,,,2,2,3,2,3,3,3,2,2,3,2,2,3,2,2,2,2,3,3,2,1,251.11,367.43
F00021,수원시,2,1,53,1,3,1,1,4,1,2,3,,3,1,1,,,26,1,3,2,2,2,1,3,3,,1,5,2,,,1,1,1,0,30,2,6,2,2,1,,,,1,4,,,,,,,,,,,2,,,,,1,1,1,9,3,,2,,,,1,2,4,1,4,5,5,2,2,,2,,,,,,,,,,,,,2,,,,,,,4,4,2,4,4,1,1,,8,8,1,1,4,4,4,5,4,,,,,,,,3,,3,,5,4,1,3,,5,,,3,1,2,,,,3,8,1,1,3,,2,,,3,,,,,,,,,,5,3,3,4,3,5,3,3,5,3,1,251.11,305.23
F00021,수원시,2,2,57,,,2,2,4,1,2,5,,2,1,1,,,,,3,3,,,,3,3,,1,5,,,,1,1,6,0,15,3,6,2,2,2,,,,1,4,,,,,,,,,,,2,,,,,1,1,1,9,4,1,2,,,,,,,1,3,4,5,,,,2,,,,,,,,,,,,,2,,,,,,,4,4,2,5,4,1,1,,14,9,1,1,4,3,3,4,3,,,,,,,,3,,3,,5,4,1,1,,5,,,1,1,1,4,2,1,7,8,1,1,2,,2,,,3,,,,,,,,,,5,3,3,4,3,5,3,3,5,3,1,0,287.24
F00022,수원시,1,1,35,1,3,2,1,5,1,1,1,,8,1,1,5,,3,1,1,2,2,2,3,3,2,,1,5,2,,,1,2,3,0,15,2,3,3,3,,,,,1,4,,,,,,,,,,,4,,,,,2,3,1,9,2,,1,4,2,2,1,,3,1,4,3,5,1,2,,2,,,,,,,,,,,,,2,,,,,,,3,3,4,5,2,6,1,,3,7,1,1,3,4,2,2,2,,,,,,,,4,,4,,4,5,1,3,,5,,,3,1,1,3,2,3,3,8,1,1,3,,2,,,1,,,,,,,,,,3,2,3,2,2,3,3,3,3,3,1,251.11,310.05
F00023,수원시,1,1,22,1,3,1,1,6,2,1,5,,2,1,,,2,3,4,3,3,2,2,3,2,3,,1,4,1,1,3,2,1,6,0,15,2,6,1,1,1,,,,1,4,,,,,,,,,,,12,,,,,2,2,1,9,3,,2,,,,1,7,2,1,3,3,3,1,1,2,2,,,,,,,,,,,,,2,,,,,,,2,4,4,5,1,1,1,,13,9,1,3,2,3,3,3,3,,,,,,,,4,,4,,4,5,2,,5,2,1,3,,3,1,4,3,2,3,8,1,1,3,,2,,,3,2,2,2,3,3,3,2,2,2,4,3,3,3,3,4,4,3,5,3,1,251.11,367.43
F00024,수원시,1,1,22,1,3,1,1,5,4,1,5,,2,1,1,,,12,2,1,2,1,2,1,3,2,,1,5,2,,,1,1,1,0,20,2,3,3,3,,,,,1,4,,,,,,,,,,,3,,,,,2,2,7,9,3,,1,4,4,3,1,,2,1,4,4,4,1,2,,2,,,,,,,,,,,,,2,,,,,,,3,4,4,5,1,4,1,,13,2,1,1,1,4,2,2,2,,,,,,,,4,,4,,2,5,2,,4,5,,,3,1,1,3,2,2,3,5,1,1,2,,2,,,3,,,,,,,,,,1,3,2,3,2,2,3,2,3,3,1,251.11,367.43
F00025,수원시,4,1,50,1,2,1,1,3,1,2,1,,2,1,1,,,10,2,3,2,2,2,1,3,2,,1,5,2,,,1,2,8,0,40,2,6,3,3,,,,,2,,,,,,,,,,,,,,,,,2,2,1,9,4,1,1,4,4,2,1,2,5,1,4,4,5,1,1,1,2,,,,,,,,,,,,,2,,,,,,,4,4,3,6,1,1,1,,14,9,1,1,4,4,2,4,3,,,,,,,,3,,3,,5,4,1,3,,5,,,3,1,1,4,2,3,3,7,1,1,3,,2,,,3,,,,,,,,,,5,4,4,4,3,4,3,3,5,4,1,251.11,305.23
F00025,수원시,4,2,31,,,2,2,4,1,2,1,,1,1,1,,,,,3,3,,,,2,3,,1,5,,,,1,1,2,0,15,2,6,3,3,,,,,1,4,,,,,,,,,,,2,,,,,1,2,1,9,4,1,1,4,4,2,,,,1,4,4,5,,,,2,,,,,,,,,,,,,2,,,,,,,3,4,3,6,1,1,1,,3,7,1,1,4,4,3,4,3,,,,,,,,3,,3,,5,2,1,3,,5,,,3,1,1,3,2,1,3,8,1,1,3,,2,,,1,,,,,,,,,,4,4,4,4,3,4,3,3,5,4,1,0,310.05
F00026,수원시,1,1,48,1,3,2,1,5,1,4,2,7,2,1,1,3,,6,3,3,3,2,2,3,2,2,,3,5,2,,,1,1,6,0,10,6,6,2,3,,,,,2,,,,,,,,,,,,,,,,,2,1,1,9,4,2,2,,,,1,,4,1,3,4,5,7,2,,2,,,,,,,,,,,,,2,,,,,,,4,4,4,5,3,1,1,,9,4,2,,,,,,,,,,,,,,3,,4,,5,5,2,,4,5,,,1,1,2,,,,6,8,1,1,3,,1,2,,1,,,,,,,,,,3,2,3,3,2,2,3,3,3,3,1,251.11,290.93
F00027,수원시,1,1,38,1,3,1,1,6,1,1,3,,2,1,1,,,4,3,3,3,2,2,3,3,3,,1,5,2,,,1,1,1,0,15,3,6,3,3,,,,,1,4,,,,,,,,,,,2,,,,,2,3,1,9,3,,1,4,4,2,1,,3,1,4,3,5,1,1,4,2,,,,,,,,,,,,,2,,,,,,,3,3,3,6,5,3,1,,16,2,1,1,2,4,3,2,2,,,,,,,,3,,3,,5,5,2,,4,5,,,2,1,2,,,,6,8,1,1,2,,2,,,1,,,,,,,,,,1,2,2,3,3,2,2,2,2,2,1,251.11,502.33
F00028,수원시,1,1,61,1,3,1,1,3,1,4,5,,1,1,1,,,1,2,4,4,2,2,3,2,3,,1,5,2,,,1,2,1,0,30,3,6,3,3,,,,,2,,,,,,,,,,,,,,,,,2,3,1,9,3,,2,,,,1,,3,1,4,4,5,1,2,,2,,,,,,,,,,,,,2,,,,,,,4,4,4,6,2,2,1,,19,7,3,,,,,,,,,,,,,,4,,4,,5,4,1,3,,5,,,3,1,2,,,,6,7,1,1,3,,2,,,3,,,,,,,,,,2,2,2,3,2,3,4,3,2,3,1,251.11,292.35
F00029,수원시,4,1,36,3,2,1,1,6,1,2,1,,8,1,1,3,,9,2,3,3,2,2,3,3,3,,5,7,2,,,1,3,3,1,30,2,3,3,3,,,,,2,,,,,,,,,,,,,,,,,1,2,1,9,3,,1,4,4,2,1,2,6,1,3,4,5,1,1,1,2,,,,,,,,,,,,,2,,,,,,,3,3,3,3,3,5,1,,10,2,1,1,2,4,3,2,3,,,,,,,,3,,3,,4,5,2,,5,1,1,1,,1,1,3,3,1,3,8,1,1,3,,2,,,4,,,,,,,,,,3,3,4,4,3,5,4,3,5,3,1,308.85,502.33
F00029,수원시,4,2,42,,,2,2,5,1,2,1,,2,1,1,,,,,3,3,,,,2,3,,1,5,,,,1,1,1,0,30,3,3,2,2,1,,,,1,4,,,,,,,,,,,4,,,,,1,1,1,9,3,,1,4,4,2,,,,1,4,4,5,,,,2,,,,,,,,,,,,,2,,,,,,,4,4,4,4,2,1,1,,14,3,1,1,5,4,3,4,3,,,,,,,,3,,3,,5,5,2,,1,2,1,2,,1,1,4,2,1,3,8,1,1,3,,2,,,4,,,,,,,,,,4,4,3,3,3,5,3,3,5,3,1,0,290.93
F00030,수원시,3,1,67,3,1,1,1,6,1,2,3,,4,1,1,4,,18,1,3,2,1,2,2,2,3,,3,5,2,,,1,3,3,0,50,1,3,2,3,,,,,2,,,,,,,,,,,,,,,,,1,2,1,9,3,,1,1,4,1,1,2,7,1,3,3,5,1,2,,2,,,,,,,,,,,,,2,,,,,,,3,3,3,3,5,4,1,,3,2,1,1,2,3,3,2,2,,,,,,,,3,,3,,4,4,2,,5,5,,,1,1,1,4,3,1,7,8,2,,,,2,,,5,,,,,,,,,,5,4,4,3,3,4,4,4,5,4,1,308.85,292.35
F00030,수원시,3,2,63,,,2,2,6,1,2,1,,4,1,,,3,,,3,2,,,,2,3,,3,5,,,,3,,,,,2,6,3,4,,,3,,2,,,,,,,,,,,,,,,,,3,3,1,9,3,,1,4,2,5,,,,2,,3,4,,,,2,,,,,,,,,,,,,2,,,,,,,3,3,5,4,2,3,2,1,,,,,,,,,,,,,,,,,3,,3,,2,4,2,,5,5,,,3,5,1,2,2,4,7,8,1,1,3,,2,,,1,,,,,,,,,,5,4,4,4,3,5,3,4,5,4,1,0,272.98
F00030,수원시,3,3,37,,,2,3,6,5,1,2,2,7,1,1,,,,,3,3,,,,2,3,,1,5,,,,1,1,2,0,30,2,3,3,3,,,,,1,4,,,,,,,,,,,8,,,,,2,3,1,9,3,,1,4,4,2,,,,1,4,4,5,,,,2,,,,,,,,,,,,,2,,,,,,,4,4,3,5,4,1,1,,3,3,1,1,4,4,3,3,3,,,,,,,,4,,3,,4,2,2,,5,5,,,3,1,1,4,2,1,3,8,1,1,3,,2,,,1,,,,,,,,,,4,3,3,3,3,5,2,3,5,3,1,0,310.05
F00031,수원시,4,1,48,1,1,1,1,6,1,2,5,,4,1,1,3,,19,1,3,3,1,1,1,4,2,,2,3,2,,,1,2,1,1,0,2,2,3,4,,,1,3,1,4,7,,,,,,,,,,4,,,1,,2,3,1,9,3,,1,1,4,3,1,2,8,1,2,3,4,3,1,1,2,,,,,,,,,,,,,1,,12,,,,,2,3,2,4,2,4,1,,3,2,1,1,2,2,2,2,2,,,,,,,,3,,3,,4,2,2,,1,5,,,3,5,1,2,1,5,1,5,1,1,3,,2,,,2,,,,,,,,,,2,3,3,4,2,3,4,2,2,3,1,251.11,267.2
F00031,수원시,4,2,48,,,2,2,6,1,2,2,2,1,1,3,,,,,3,1,,,,3,2,,1,5,,,,3,,,,,2,6,3,4,,,1,,1,4,7,,,,,,,,,,6,,,2,,3,3,1,9,2,,1,1,4,3,,,,2,,2,4,,,,2,,,,,,,,,,,,,2,,,,,,,2,3,3,4,2,3,2,1,,,,,,,,,,1,2,3,2,,,,3,,3,,4,2,1,2,,5,,,3,3,1,1,2,5,5,8,1,1,3,,2,,,3,,,,,,,,,,4,3,2,2,3,2,3,3,3,3,1,0,290.93
F00031,수원시,4,3,18,,,1,3,4,2,1,3,,1,2,,,,,,3,2,,,,2,3,,7,8,,,,2,1,2,0,10,2,6,3,3,,,,,1,4,,,,,,,,,,,2,,,,,3,3,1,9,3,,1,1,4,4,,,,,,,5,,,,1,10,4,7,3,,,,,,,,,2,,,,,,,3,3,3,5,5,4,2,2,,,,,,,,,,,,,,,,,4,,4,,4,5,2,,4,3,1,3,,3,1,4,3,4,6,8,1,1,3,,2,,,1,3,3,2,3,3,3,3,6,3,4,3,3,3,2,3,2,3,3,3,1,0,367.43
F00031,수원시,4,3,20,,,1,3,6,4,1,3,,1,1,,,2,,,3,2,,,,3,3,,1,5,,,,1,1,2,0,10,2,3,3,3,,,,,1,4,7,,,,,,,,,,4,,,1,,2,3,7,9,3,,1,1,4,1,,,,1,4,4,4,,,,2,,,,,,,,,,,,,2,,,,,,,4,4,4,5,2,2,1,,16,2,1,2,4,4,4,3,3,,,,,,,,4,,4,,4,4,2,,4,5,,,3,5,2,,,,3,6,1,1,3,,2,,,4,,,,,,,,,,4,3,3,4,3,2,2,3,4,3,1,0,367.43
F00032,수원시,2,1,49,1,1,2,1,4,1,4,5,,4,1,,,2,4,2,3,3,1,2,2,1,2,,1,5,2,,,1,1,1,0,40,6,6,3,3,,,,,1,4,,,,,,,,,,,3,,,,,2,2,1,9,2,,2,,,,1,,3,1,4,4,3,4,2,,2,,,,,,,,,,,,,2,,,,,,,3,3,4,5,1,3,1,,7,5,1,2,2,4,2,3,2,,,,,,,,2,3,3,,1,2,2,,1,5,,,3,1,2,,,,5,8,1,1,2,,2,,,1,,,,,,,,,,4,2,2,3,3,3,4,3,3,3,1,251.11,290.93
F00032,수원시,2,6,82,,,2,6,2,1,3,1,,1,1,6,,,,,3,3,,,,2,3,,3,5,,,,3,,,,,6,6,3,3,,,,,2,,,,,,,,,,,,,,,,,4,4,1,9,3,,2,,,,,,,1,4,4,4,,,,2,,,,,,,,,,,,,2,,,,,,,4,4,3,5,1,1,2,1,,,,,,,,,,,,,,,,,3,,3,,5,4,2,,5,5,,,3,1,1,2,2,3,9,,1,1,3,,2,,,2,,,,,,,,,,2,3,3,3,3,4,3,3,3,3,1,0,272.98
F00033,수원시,2,1,79,1,1,1,1,1,,2,2,2,1,1,6,,,2,1,4,2,2,2,3,2,2,,4,5,2,,,3,,,,,2,6,3,3,,,,,2,,,,,,,,,,,,,,,,,4,4,1,9,2,,2,,,,3,5,1,1,4,4,5,1,2,,2,,,,,,,,,,,,,2,,,,,,,4,4,3,4,1,1,2,2,,,,,,,,,,,,,,,,,3,,3,,5,4,2,,5,5,,,3,1,2,,,,9,1,2,,,,2,,,2,,,,,,,,,,4,4,4,3,2,2,3,3,3,3,1,251.11,292.35
F00033,수원시,2,2,70,,,2,2,1,,2,1,,4,1,,,3,,,4,2,,,,3,2,,4,5,,,,3,,,,,2,6,3,3,,,,,2,,,,,,,,,,,,,,,,,4,4,1,9,4,8,2,,,,,,,1,4,4,5,,,,2,,,,,,,,,,,,,2,,,,,,,4,4,3,5,1,4,2,1,,,,,,,,,,,,,,,,,3,,3,,5,4,2,,5,5,,,3,1,2,,,,9,,1,2,2,,2,,,2,,,,,,,,,,4,3,3,3,3,4,3,3,4,3,1,0,272.98
F00034,수원시,3,1,79,1,1,1,1,6,1,2,1,,3,1,1,6,,20,2,3,2,2,2,1,3,2,,1,4,2,,,3,,,,,2,6,3,2,1,2,,,1,4,,,,,,,,,,,6,,,,,3,3,9,10,2,,2,,,,3,4,3,1,3,2,5,4,2,,2,,,,,,,,,,,,,1,4,,,,,,2,1,4,4,5,3,2,2,,,,,,,,,,,,,,,,,3,,3,,2,1,1,1,,5,,,3,1,1,1,1,1,9,1,1,5,2,,1,2,,2,,,,,,,,,,4,4,3,3,3,2,3,3,3,3,1,251.11,292.35
F00034,수원시,3,2,74,,,2,2,4,1,2,5,,4,1,6,,,,,3,2,,,,3,2,,3,4,,,,3,,,,,2,6,3,4,,,3,1,1,4,,,,,,,,,,,10,,,,,3,3,9,10,2,,2,,,,,,,1,3,2,4,,,,1,8,2,,,,,,,,,,,1,12,,,,,,2,2,2,4,2,4,2,1,,,,,,,,,,,,,,,,,3,,3,,1,1,1,1,,5,,,3,1,1,1,2,5,5,8,1,2,2,,2,,,1,,,,,,,,,,4,4,3,4,4,2,3,3,3,3,1,0,272.98
F00035,수원시,1,1,25,1,3,1,1,7,2,1,3,,8,1,,,2,2,2,4,1,2,2,3,2,2,,1,5,2,,,2,1,6,0,10,2,6,3,2,1,,,,1,4,,,,,,,,,,,10,,,,,1,2,7,9,3,,2,,,,1,,1,1,4,4,2,1,2,,2,,,,,,,,,,,,,2,,,,,,,2,2,3,5,3,1,1,,16,2,1,2,2,4,2,2,3,,,,,,,,3,,3,,5,5,2,,4,5,,,3,5,2,,,,3,8,1,1,3,,2,,,1,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2,3,4,2,1,251.11,367.43
F00036,수원시,1,1,25,1,3,1,1,7,2,1,3,,2,1,,,2,6,2,4,2,2,2,3,2,3,,1,5,1,1,3,2,1,6,0,10,2,3,2,3,,,,,1,4,7,,,,,,,,,,6,,,1,,2,3,7,9,3,,1,1,4,2,1,7,2,1,2,3,4,1,2,,2,,,,,,,,,,,,,1,,12,,,,,1,2,2,4,5,2,1,,16,2,1,2,2,4,2,2,2,,,,,,,,3,,3,,4,3,2,,4,2,1,2,,4,2,,,,1,3,1,1,3,,2,,,2,2,2,3,2,2,3,2,2,2,2,3,3,4,2,4,2,2,3,3,1,251.11,367.43
F00037,수원시,1,1,21,1,3,1,1,6,2,1,5,,2,1,,,2,1,3,4,3,2,2,3,2,3,,1,5,1,1,3,2,1,3,0,15,2,3,3,3,,,,,1,4,,,,,,,,,,,40,,,,,2,3,2,7,3,,2,,,,1,,2,1,3,3,4,1,2,,2,,,,,,,,,,,,,2,,,,,,,3,3,2,3,5,2,1,,10,5,1,2,2,2,1,2,2,,,,,,,,4,,4,,4,4,2,,5,5,,,3,4,2,,,,3,6,1,1,3,,2,,,2,2,3,2,3,3,3,2,2,3,2,3,3,4,3,2,2,3,3,3,1,251.11,367.43
